+=============================================================================+
| Traininig store    1                                                        |
+=============================================================================+
Val 100% loss: 0.731429666, rmspe: 0.188511656
Val 100% loss: 0.580248333, rmspe: 0.160482962
Val 100% loss: 0.556537232, rmspe: 0.159618086
Val 100% loss: 0.511246671, rmspe: 0.146295061
Val 100% loss: 0.506512949, rmspe: 0.150047946
Val 100% loss: 0.502290368, rmspe: 0.150925337
Val 100% loss: 0.479420428, rmspe: 0.147113408
Val 100% loss: 0.570545851, rmspe: 0.171319364
Val 100% loss: 0.429603887, rmspe: 0.138357269
Val 100% loss: 0.395093156, rmspe: 0.125351363
Val 100% loss: 0.375722207, rmspe: 0.120649795
Val 100% loss: 0.502412094, rmspe: 0.135528319
Val 100% loss: 0.420527610, rmspe: 0.131064039
Val 100% loss: 0.304708551, rmspe: 0.115299773
Val 100% loss: 0.292343537, rmspe: 0.113346608
Val 100% loss: 0.363112855, rmspe: 0.125203973
Val 100% loss: 0.314013524, rmspe: 0.118288828
Val 100% loss: 0.286107685, rmspe: 0.112065369
Val 100% loss: 0.269279095, rmspe: 0.110467726
Val 100% loss: 0.261090781, rmspe: 0.108102472
Val 100% loss: 0.281240171, rmspe: 0.112863929
Val 100% loss: 0.256613701, rmspe: 0.107354484
Val 100% loss: 0.264512370, rmspe: 0.107863885
Val 100% loss: 0.242223121, rmspe: 0.106263808
Val 100% loss: 0.245508492, rmspe: 0.104870501
Val 100% loss: 0.233238044, rmspe: 0.103447142
Val 100% loss: 0.226335016, rmspe: 0.102338061
Val 100% loss: 0.254328072, rmspe: 0.106322037
Val 100% loss: 1.058632396, rmspe: 0.245541979
Val 100% loss: 0.240597699, rmspe: 0.103505492
Val 100% loss: 0.205143902, rmspe: 0.101042994
Val 100% loss: 0.203123054, rmspe: 0.097918204
Val 100% loss: 0.231339820, rmspe: 0.111903581
Val 100% loss: 0.191666427, rmspe: 0.098027972
Val 100% loss: 0.230454146, rmspe: 0.102191204
Val 100% loss: 0.207437153, rmspe: 0.106041094
Val 100% loss: 0.200679736, rmspe: 0.106365184
Val 100% loss: 0.312218328, rmspe: 0.131139735
Val 100% loss: 0.611772945, rmspe: 0.183800678
Val 100% loss: 0.192840600, rmspe: 0.099006995
Val 100% loss: 0.184048351, rmspe: 0.099140541
Val 100% loss: 0.190888815, rmspe: 0.100727500
Val 100% loss: 0.174186774, rmspe: 0.096659322
Val 100% loss: 0.172556635, rmspe: 0.094358313
Val 100% loss: 0.169136202, rmspe: 0.095216925
Val 100% loss: 0.166664204, rmspe: 0.093455808
Val 100% loss: 0.167733527, rmspe: 0.092227259
Val 100% loss: 0.165306823, rmspe: 0.095901573
Val 100% loss: 0.158270058, rmspe: 0.093194233
Val 100% loss: 0.157697530, rmspe: 0.095148834
+=============================================================================+
| Time taken: 23.986999989
+=============================================================================+
+=============================================================================+
| Traininig store    3                                                        |
+=============================================================================+
Val 100% loss: 0.330155304, rmspe: 0.186003468
Val 100% loss: 0.249806036, rmspe: 0.146134843
Val 100% loss: 0.231432170, rmspe: 0.140841132
Val 100% loss: 0.220316936, rmspe: 0.143543103
Val 100% loss: 0.212523958, rmspe: 0.134853702
Val 100% loss: 0.217582288, rmspe: 0.152122829
Val 100% loss: 0.196331391, rmspe: 0.133690960
Val 100% loss: 0.189358601, rmspe: 0.129220917
Val 100% loss: 0.181125229, rmspe: 0.130176697
Val 100% loss: 0.174982054, rmspe: 0.120611833
Val 100% loss: 0.177463773, rmspe: 0.118813007
Val 100% loss: 0.163680597, rmspe: 0.122013711
Val 100% loss: 0.175169204, rmspe: 0.137390138
Val 100% loss: 0.156588469, rmspe: 0.122553343
Val 100% loss: 0.154517924, rmspe: 0.122404070
Val 100% loss: 0.147676337, rmspe: 0.115182578
Val 100% loss: 0.148822246, rmspe: 0.120570471
Val 100% loss: 0.142103714, rmspe: 0.113819688
Val 100% loss: 0.144128649, rmspe: 0.110299414
Val 100% loss: 0.151609555, rmspe: 0.126513304
